Time_days,Parameter,S1,pval
10,deltaCk2,0.06363873767426102,0.020957785927680606
10,betaTh1CK3,0.050756310634406325,0.01173840326215947
10,muC1,0.03699518314737846,0.008074610374561586
10,deltaTc,0.007208944342171164,0.007907432606018339
10,ktc1,5.765566755845778e-05,0.0031123592075685824
10,betaTh1CK2,3.826770053345422e-05,0.0005826076868252761
10,betaTc,1.0417489432659728e-05,0.005831934881808443
10,muTh1Ck3,1.135612951836774e-06,1.9797845512425916e-05
10,r2,9.645552345798263e-07,0.0101878022047599
10,deltaTreg,1.9679801604665806e-07,0.007601456075281066
10,k4,1.5497941043810882e-07,0.006359809530648741
10,r1,1.4146500720830854e-08,0.008631170457102821
10,gammaM1,2.2066393701476937e-10,0.02489342399846417
100,p1,1.0,0.0
100,muS,1.0,0.0
100,gammaCR,1.0,0.0
100,gammaS,0.9998284748952039,0.0
100,k6,0.9959937677495798,0.0
100,betaTc,0.9922154565809492,0.0
100,k9,0.9919998970909273,0.0
100,p2,0.9916271327050842,0.0
100,ktc4,0.9890384739095684,0.0
100,deltaTreg,0.9845217273111756,0.0
100,deltaTh2,0.9824659323315657,0.0
100,betaTh1CK3,0.9823410667835164,0.0
100,lambdaM1,0.982064323106587,0.0
100,k1,0.970273595079934,0.0
100,deltaTc,0.8822879120507835,0.0
100,deltaTh1,0.8566154170398192,0.0
100,muC2,0.8435009485050954,0.0
100,lambdaTc4,0.8424854055553826,2.863542736264435e-11
100,tck,0.8189201932867908,2.557611900044776e-09
100,gammaTc,0.7914921881949044,0.0
100,CRmax,0.7557798495268897,1.5416800058787317e-09
100,gammaM2,0.7300113902846778,1.1763334750725107e-10
100,k5,0.7242224168351702,0.0006492401781584833
100,lambdaTh2,0.6972991687971994,0.002391380788941966
100,gammaTh1,0.6903668469300338,0.003159750812361972
100,betaTh2,0.6701301110721806,0.004929808770945288
100,lambdaTreg2,0.6700916692803883,0.0037262255077166184
100,Cmax,0.6682323959274915,0.006815757395675304
100,ktc3,0.6676747062208993,0.006934573629928886
100,deltaS,0.6675799705242857,0.006954897831992657
100,betaTh1CK2,0.6674989930453196,0.0069723028592260095
100,k10,0.6667896068021681,0.0071260580792195105
100,muTh1Ck3,0.6667206224555077,0.00714113311032305
100,deltaCk3,0.6006685547959332,0.0026019097324867513
100,ktc1,0.588518297795375,2.0861090632706691e-13
100,muC1,0.5621984559202912,0.004354617600950128
100,deltaM2,0.5437004598979139,0.005747314849886331
100,deltaCR,0.5310007252103394,0.012529125788437456
100,deltaCk2,0.5180263978693519,0.0030753856640992616
100,gammaC,0.49943829890096886,0.010220448336207055
100,muM1Ck2,0.49435008233906846,0.017924439100959644
100,lambdaTc1,0.4941185882051385,0.013711850063128472
100,gammaTh2,0.49277652434732483,0.015534242803152076
100,k4,0.47771090178930375,0.021366923646357283
100,lambdaM2,0.47663974966462286,0.021912155077134177
100,lambdaTh1,0.4431115326068935,7.69760114829321e-05
100,deltaCk1,0.4119286814504879,0.002465065837172764
100,mS,0.4083119239492458,0.04595932400211411
100,gammaM1,0.2247811466947042,0.043804469160667825
100,deltaM1,0.17263506139076867,0.0013761549707568266
100,r2,0.04907086770689126,0.007160765612630904
100,mC,0.035812300952792454,0.0010494740592578156
100,betaTreg,0.0008053571400282027,0.037759876915420265
100,betaM2,0.0001215072590679472,1.707900530079076e-05
100,lambdaTc2,8.159961632830145e-05,0.007346030520482771
100,muTcS,6.675856116181301e-05,0.009381118624636198
